facet_id,raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,is_header_like,retrieval_enabled,scoring_definition,abstention_reason
12,Statistical Reasoning,statistical reasoning,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
13,Assertiveness and control in relationships,assertiveness and control in relationships,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
14,Cunningness,cunningness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
15,Adventure-Seeking Behavior,adventure-seeking behavior,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
16,Compassion Fatigue,compassion fatigue,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
17,Moroseness,moroseness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
18,Specialist,specialist,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
19,Aloofness,aloofness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
20,Genuine,genuine,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
21,Determinedness,determinedness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
22,HonestyHumility:,honesty humility,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
23,Relationship Building Themes:,relationship building themes,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
24,Pure Challenge,pure challenge,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
25,Numerical Reasoning Subcomponents:,numerical reasoning subcomponents,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
26,Openness,openness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
27,SelfEsteem,self esteem,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
28,Comparing alphanumeric data,comparing alphanumeric data,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
29,Big-heartedness,big-heartedness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
30,Compulsive activities,compulsive activities,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
31,Disrespect,disrespect,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
32,FSH level,fsh level,medical_or_biological,not_observable,high,False,False,,"Requires medical, laboratory, genetic, diagnostic, or other external evidence."
33,Self Perspective,self perspective,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
34,Desperation,desperation,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
35,Affiliation Motivation:,affiliation motivation,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
36,Anatomy knowledge,anatomy knowledge,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
37,Passive-Aggressive,passive-aggressive,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
38,Presence of Spiritual Pain,presence of spiritual pain,spiritual_or_religious_practice,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
39,Role of Spirituality in Community Involvement,role of spirituality in community involvement,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
40,Structure,structure,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
41,Eco-tourism trips,eco-tourism trips,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
42,Chivalrousness,chivalrousness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
43,Pilgrimage participation count,pilgrimage participation count,spiritual_or_religious_practice,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
44,Mindfulness facet: Observing,mindfulness facet: observing,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
45,Submissiveness,submissiveness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
46,Training-cycle length,training-cycle length,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
47,Sensitiveness,sensitiveness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
48,Negative Affect Frequency,negative affect frequency,biographical_or_external_fact,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
49,Innovation and Creativity Components:,innovation and creativity components,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
50,Achievement Motivation:,achievement motivation,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
51,Feedback-giving frequency,feedback-giving frequency,biographical_or_external_fact,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
52,Dance-cardio sessions,dance-cardio sessions,biographical_or_external_fact,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
53,Enthusiasm,enthusiasm,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
54,Psychological construct: Social Desirability tendency,psychological construct: social desirability tendency,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
55,Inattentiveness,inattentiveness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
56,Unassertiveness,unassertiveness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
57,Decision-making decisiveness,decision-making decisiveness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
58,Sense-of-coherence score,sense-of-coherence score,psychological_or_mental_health,not_observable,high,False,False,,Should not be diagnosed or assigned from ordinary conversational text alone.
59,Justice-mindedness,justice-mindedness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
60,Subscription count,subscription count,biographical_or_external_fact,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
61,Depression Symptoms,depression symptoms,psychological_or_mental_health,not_observable,high,False,False,,Should not be diagnosed or assigned from ordinary conversational text alone.
62,Spatial perception,spatial perception,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
63,Brevity,brevity,communication_or_interaction,conditional,low,False,True,Use a 1-5 ordinal scale based only on directly observable conversational evidence. Abstain when the sample is too short or unrepresentative.,"Score only when the conversation provides direct, specific evidence about the speaker."
64,Orderliness,orderliness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
65,Multiculturalism,multiculturalism,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
66,Creative risk-taking tendency,creative risk-taking tendency,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
67,Inefficiency,inefficiency,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
68,Network basics,network basics,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
69,Alphabetical filing skills,alphabetical filing skills,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
70,Work Styles,work styles,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
71,Character strength: Perseverance,character strength: perseverance,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
72,Competition,competition,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
73,Logical Sequence Identification,logical sequence identification,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
74,Sustainable-transport usage,sustainable-transport usage,biographical_or_external_fact,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
75,Hardworking,hardworking,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
76,Emotional-intelligence measure: Impulsiveness,emotional-intelligence measure: impulsiveness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
77,Dishonesty,dishonesty,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
78,Preferred epistemology,preferred epistemology,preference_or_attitude,conditional,low,False,True,Use a 1-5 ordinal scale based on explicit statements or repeated direct evidence. Abstain when preference is unclear.,"Score only when the conversation provides direct, specific evidence about the speaker."
79,Memory for Sounds,memory for sounds,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
80,Sportsmanship rating,sportsmanship rating,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
81,Immaturity,immaturity,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
82,Health-literacy level,health-literacy level,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
83,Estimating Calculations,estimating calculations,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
84,Depression: Feelings of sadness and hopelessness,depression: feelings of sadness and hopelessness,psychological_or_mental_health,not_observable,high,False,False,,Should not be diagnosed or assigned from ordinary conversational text alone.
85,Synthesis of information,synthesis of information,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
86,Leadership Potential:,leadership potential,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
87,Ethical standards,ethical standards,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
88,High-spiritedness,high-spiritedness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
89,Critical reasoning,critical reasoning,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
90,Sleep-disorder diagnosis,sleep-disorder diagnosis,medical_or_biological,not_observable,high,False,False,,"Requires medical, laboratory, genetic, diagnostic, or other external evidence."
91,Listening Skills Subcomponents:,listening skills subcomponents,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
92,Collaboration,collaboration,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
93,Precision of Movements,precision of movements,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
94,Social Boldness,social boldness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
95,Auditory memory,auditory memory,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
96,Psychomotor Ability Subcomponents:,psychomotor ability subcomponents,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
97,Organized lifestyle,organized lifestyle,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
98,Skill-endorsements count,skill-endorsements count,biographical_or_external_fact,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
99,Mysteriousness,mysteriousness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
100,Cultural Identity,cultural identity,behavioral_or_personality,conditional,high,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
101,Intrinsic Motivation,intrinsic motivation,preference_or_attitude,conditional,low,False,True,Use a 1-5 ordinal scale based on explicit statements or repeated direct evidence. Abstain when preference is unclear.,"Score only when the conversation provides direct, specific evidence about the speaker."
102,Impartial-mindedness,impartial-mindedness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
103,Burnout Symptoms,burnout symptoms,psychological_or_mental_health,not_observable,high,False,False,,Should not be diagnosed or assigned from ordinary conversational text alone.
104,Holiness,holiness,spiritual_or_religious_practice,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
105,Selfcontrol,selfcontrol,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
106,SelfDirectedness,self directedness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
107,Encouraging participation,encouraging participation,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
108,Impracticalness,impracticalness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
109,Meeting Deadlines,meeting deadlines,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
110,Data Analysis,data analysis,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
111,Social Interaction Skills,social interaction skills,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
112,Psychoticism,psychoticism,psychological_or_mental_health,not_observable,high,False,False,,Should not be diagnosed or assigned from ordinary conversational text alone.
113,Ethical leadership rating,ethical leadership rating,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
114,Slothfulness,slothfulness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
115,Happiness,happiness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
116,Contentment Levels,contentment levels,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
117,Neuroticism,neuroticism,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
118,Desire for excellence,desire for excellence,preference_or_attitude,conditional,low,False,True,Use a 1-5 ordinal scale based on explicit statements or repeated direct evidence. Abstain when preference is unclear.,"Score only when the conversation provides direct, specific evidence about the speaker."
119,Perceiving,perceiving,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
120,Liberalism,liberalism,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
121,Inversion comfort level,inversion comfort level,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
122,Affection,affection,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
123,Numeric Filing Skills,numeric filing skills,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
124,Martyrdom,martyrdom,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
125,Parathyroid-hormone level,parathyroid-hormone level,medical_or_biological,not_observable,high,False,False,,"Requires medical, laboratory, genetic, diagnostic, or other external evidence."
126,Seeking approval,seeking approval,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
127,Judging (J):,judging (j),header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
128,Big Five facet Openness – Artistic Interests,big five facet openness - artistic interests,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
129,Psychological construct: Operant-Learning rate,psychological construct: operant-learning rate,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
130,Psychological construct: Need for Achievement level,psychological construct: need for achievement level,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
131,Cantankerousness,cantankerousness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
132,Material properties knowledge,material properties knowledge,skill_or_ability,conditional,low,False,True,Use a 1-5 ordinal scale based on demonstrated or explicitly described ability. Do not infer competence from interest alone.,"Score only when the conversation provides direct, specific evidence about the speaker."
133,Hostility,hostility,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
134,Independence,independence,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
135,800. Sufi practice: Sufi retreat attendance count,sufi practice: sufi retreat attendance count,spiritual_or_religious_practice,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
136,Chromatin-accessibility score,chromatin-accessibility score,medical_or_biological,not_observable,high,False,False,,"Requires medical, laboratory, genetic, diagnostic, or other external evidence."
137,644. Spiritual virtue: Humility practice index,spiritual virtue: humility practice index,spiritual_or_religious_practice,conditional,medium,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
